,Plot,UTM.E,UTM.N,Slope,Aspect,Super.Plot,northness,cwd
1,PPW1301,526265,4270350,26,350,1,0.431711304,794.1566772
2,PPW1302,525447,4269576,17,248,0,-0.109524368,1072.786743
3,PPW1303,526143,4269065,20,137,0,-0.250137698,988.1799927
4,PPW1304,525944,4269218,25,201,0,-0.394548137,1003.173279
5,PPW1305,526058,4269630,34,28,0,0.493738028,913.3433228
6,PPW1306,526022,4270886,15,20,0,0.243210347,803.2999878
7,PPW1307,525888,4270668,28.5,46,1,0.331462327,714.4832764
8,PPW1308,522747,4273140,14,12,0,0.236635322,863.376709
9,PPW1309,522830,4273334,10.5,234,1,-0.107115354,1067.43335
10,PPW1310,522783,4273545,25,351,1,0.41741513,723.4066772
11,PPW1311,522491,4273327,33,261,0,-0.085200316,919.5866699
12,PPW1312,522503,4272837,21,328,1,0.303913257,972.75
13,PPW1313,522844,4272670,34,36,0,0.452396562,782.2133179
14,PPW1314,523238,4272549,23,238,0,-0.207055952,1016.383301
15,PPW1315,524734,4271564,15,337,1,0.238244187,777.2633057
16,PPW1316,524769,4271725,34,189,0,-0.552308311,1147.67334
17,PPW1317,524778,4271596,25,224,0,-0.304006136,924.5700073
18,PPW1318,524608,4271846,26,205,0,-0.397299184,1115.736694
19,PPW1319,524509,4271779,21,354,0,0.356404772,931.3632813
20,PPW1320,524372,4269329,23.5,129,0,-0.25094092,905.4766846
21,PPW1321,524739,4269591,28.5,224,1,-0.343239287,731.6832886
22,PPW1322,525084,4269552,8,118,1,-0.065337813,943.3933105
23,PPW1323,523282,4272416,11.5,259,0,-0.038041195,1043.143311
24,PPW1324,523801,4272002,14.5,24,1,0.228733515,922.0733032
25,PPW1325,526466,4270806,15,35,1,0.21201215,776.0667114
26,PPW1326,525165,4271385,25.5,37,0,0.343821449,727.1500244
27,PPW1327,522912,4268880,17.5,186,0,-0.299058502,1313.766724
28,PPW1328,524420,4269661,14,151,0,-0.211589657,1075.446655
29,PPW1329,524086,4271800,22,356,0,0.373694071,867.3632813
30,PPW1330,523769,4271472,24,320,0,0.311578345,785.4232788
31,PPW1331,523503,4271813,24,27,0,0.362405003,962.460022
32,PPW1332,524968,4271278,24,331,1,0.355739884,802.583313
33,PPW1333,525153,4271310,26,147,0,-0.367648979,1037.97998
34,PPW1334,524885,4271274,29,334,0,0.435744,653.9567261
35,PPW1335,525087,4271051,16,331,1,0.241077863,738.8532715
36,PPW1336,525463,4271059,24,238,0,-0.215537583,988.5532837
37,PPW1337,526102,4271193,6.5,90,0,6.93E-18,892.2600098
38,PPW1338,524949,4269709,13,219,1,-0.174819803,1043.58667
39,PPW1339,524901,4269863,28,246,1,-0.190951287,1043.656738
40,PPW1340,527205,4269284,9.5,205,1,-0.14958393,1011.66333
41,PPW1341,527127,4269502,14,205,0,-0.219255698,992.539978
42,PPW1342,527278,4269582,7,65,0,0.05150421,829.8067017
43,PPW1343,522956,4273410,26.5,352,0,0.441855447,757.4099731
44,PPW1344,522872,4272878,24,210,1,-0.352244266,1090.206665
45,PPW1345,523405,4272225,24,78,0,0.084565303,807.5167236
46,PPW1346,524575,4270822,24,316,0,0.292581856,757.833313
47,PPW1347,523087,4268719,25,5,0,0.421010072,702.5466919
48,PPW1348,523389,4269026,24,327,0,0.341118051,834.1132813
49,PPW1349,526499,4270456,11,53,1,0.11483172,904.6166992
50,PPW1350,523424,4269090,26.5,318,0,0.331589596,839.9567261
51,PPW1851,527198,4269561,45,214,0,-0.586218089,954.5
52,PPW1852,527365,4269686,22,24,1,0.342220152,855.0200195
53,PPW1853,527387,4269624,30,80,0,0.086824089,853.3433228
54,PPW1854,527310,4269508,35,130,0,-0.368687826,971.0032959
